[22mars2026 10:16:45.641] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.641] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.642] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.642] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.642] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.643] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.643] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.643] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.643] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.643] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.643] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.657] [modloading-worker-0/INFO] [net.neoforged.neoforge.common.NeoForgeMod/NEOFORGE-MOD]: NeoForge mod loading, version 21.4.156, for MC 1.21.4
[22mars2026 10:16:45.657] [modloading-worker-0/INFO] [com.sqersters.allinmc.multiminer.AllInMCMultiminer/]: All In MC: Multiminer loaded!
[22mars2026 10:16:45.708] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.709] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.709] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.709] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.709] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.709] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.709] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.710] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.710] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.710] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.710] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.710] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.710] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
[22mars2026 10:16:45.710] [Render thread/INFO] [com.mojang.blaze3d.platform.GlDebug/]: OpenGL debug message: id=1080, source=API, type=ERROR, severity=HIGH, message='No detailed debug message due to a non-debug context'
